Anime_ID,Title,Originated_From,Story_DNA,Popularity_Rank,Score,Reach_Members,Loyalty_Favourites,Main_Genre,Studios,Producers,Licensors,Episodes,Airing_Year,Rating
59978,Sousou no Frieren 2nd Season,Manga,Second season of Sousou no Frieren.,759,9.29,352753,4406,"Adventure, Drama, Fantasy",Madhouse,"[{'mal_id': 17, 'type': 'anime', 'name': 'Aniplex', 'url': 'https://myanimelist.net/anime/producer/17/Aniplex'}, {'mal_id': 53, 'type': 'anime', 'name': 'Dentsu', 'url': 'https://myanimelist.net/anime/producer/53/Dentsu'}, {'mal_id': 62, 'type': 'anime', 'name': 'Shogakukan-Shueisha Productions', 'url': 'https://myanimelist.net/anime/producer/62/Shogakukan-Shueisha_Productions'}, {'mal_id': 1003, 'type': 'anime', 'name': 'Nippon Television Network', 'url': 'https://myanimelist.net/anime/producer/1003/Nippon_Television_Network'}, {'mal_id': 1143, 'type': 'anime', 'name': 'TOHO animation', 'url': 'https://myanimelist.net/anime/producer/1143/TOHO_animation'}, {'mal_id': 1294, 'type': 'anime', 'name': 'Sound Team Don Juan', 'url': 'https://myanimelist.net/anime/producer/1294/Sound_Team_Don_Juan'}, {'mal_id': 1406, 'type': 'anime', 'name': 'Miracle Bus', 'url': 'https://myanimelist.net/anime/producer/1406/Miracle_Bus'}, {'mal_id': 1430, 'type': 'anime', 'name': 'Shogakukan', 'url': 'https://myanimelist.net/anime/producer/1430/Shogakukan'}, {'mal_id': 2229, 'type': 'anime', 'name': 'Toho Music', 'url': 'https://myanimelist.net/anime/producer/2229/Toho_Music'}]",[],10.0,2026.0,PG-13 - Teens 13 or older
52991,Sousou no Frieren,Manga,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.

However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.

As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.

[Written by MAL Rewrite]",113,9.28,1319180,83317,"Adventure, Drama, Fantasy",Madhouse,"[{'mal_id': 17, 'type': 'anime', 'name': 'Aniplex', 'url': 'https://myanimelist.net/anime/producer/17/Aniplex'}, {'mal_id': 53, 'type': 'anime', 'name': 'Dentsu', 'url': 'https://myanimelist.net/anime/producer/53/Dentsu'}, {'mal_id': 62, 'type': 'anime', 'name': 'Shogakukan-Shueisha Productions', 'url': 'https://myanimelist.net/anime/producer/62/Shogakukan-Shueisha_Productions'}, {'mal_id': 1003, 'type': 'anime', 'name': 'Nippon Television Network', 'url': 'https://myanimelist.net/anime/producer/1003/Nippon_Television_Network'}, {'mal_id': 1143, 'type': 'anime', 'name': 'TOHO animation', 'url': 'https://myanimelist.net/anime/producer/1143/TOHO_animation'}, {'mal_id': 1430, 'type': 'anime', 'name': 'Shogakukan', 'url': 'https://myanimelist.net/anime/producer/1430/Shogakukan'}]","[{'mal_id': 1468, 'type': 'anime', 'name': 'Crunchyroll', 'url': 'https://myanimelist.net/anime/producer/1468/Crunchyroll'}]",28.0,2023.0,PG-13 - Teens 13 or older
57555,Chainsaw Man Movie: Reze-hen,Manga,Sequel to Chainsaw Man.,707,9.11,379081,10841,"Action, Fantasy",MAPPA,[],[],1.0,,R - 17+ (violence & profanity)
5114,Fullmetal Alchemist: Brotherhood,Manga,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",3,9.1,3628507,239718,"Action, Adventure, Drama, Fantasy",Bones,"[{'mal_id': 17, 'type': 'anime', 'name': 'Aniplex', 'url': 'https://myanimelist.net/anime/producer/17/Aniplex'}, {'mal_id': 58, 'type': 'anime', 'name': 'Square Enix', 'url': 'https://myanimelist.net/anime/producer/58/Square_Enix'}, {'mal_id': 143, 'type': 'anime', 'name': 'Mainichi Broadcasting System', 'url': 'https://myanimelist.net/anime/producer/143/Mainichi_Broadcasting_System'}, {'mal_id': 1499, 'type': 'anime', 'name': 'Techno Sound', 'url': 'https://myanimelist.net/anime/producer/1499/Techno_Sound'}]","[{'mal_id': 102, 'type': 'anime', 'name': 'Funimation', 'url': 'https://myanimelist.net/anime/producer/102/Funimation'}, {'mal_id': 493, 'type': 'anime', 'name': 'Aniplex of America', 'url': 'https://myanimelist.net/anime/producer/493/Aniplex_of_America'}]",64.0,2009.0,R - 17+ (violence & profanity)
9253,Steins;Gate,Visual novel,"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.

However, when Okabe attends a conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Okabe dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.

Due to the novel discovery, Okabe and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, Okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity.

[Written by MAL Rewrite]",14,9.07,2773782,200310,"Drama, Sci-Fi, Suspense",White Fox,"[{'mal_id': 61, 'type': 'anime', 'name': 'Frontier Works', 'url': 'https://myanimelist.net/anime/producer/61/Frontier_Works'}, {'mal_id': 108, 'type': 'anime', 'name': 'Media Factory', 'url': 'https://myanimelist.net/anime/producer/108/Media_Factory'}, {'mal_id': 113, 'type': 'anime', 'name': 'Kadokawa Shoten', 'url': 'https://myanimelist.net/anime/producer/113/Kadokawa_Shoten'}, {'mal_id': 166, 'type': 'anime', 'name': 'Movic', 'url': 'https://myanimelist.net/anime/producer/166/Movic'}, {'mal_id': 238, 'type': 'anime', 'name': 'AT-X', 'url': 'https://myanimelist.net/anime/producer/238/AT-X'}, {'mal_id': 352, 'type': 'anime', 'name': 'Kadokawa Pictures Japan', 'url': 'https://myanimelist.net/anime/producer/352/Kadokawa_Pictures_Japan'}, {'mal_id': 459, 'type': 'anime', 'name': 'Nitroplus', 'url': 'https://myanimelist.net/anime/producer/459/Nitroplus'}]","[{'mal_id': 102, 'type': 'anime', 'name': 'Funimation', 'url': 'https://myanimelist.net/anime/producer/102/Funimation'}]",24.0,2011.0,PG-13 - Teens 13 or older
38524,Shingeki no Kyojin Season 3 Part 2,Manga,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",20,9.05,2544370,62525,"Action, Drama, Suspense",Wit Studio,"[{'mal_id': 10, 'type': 'anime', 'name': 'Production I.G', 'url': 'https://myanimelist.net/anime/producer/10/Production_IG'}, {'mal_id': 53, 'type': 'anime', 'name': 'Dentsu', 'url': 'https://myanimelist.net/anime/producer/53/Dentsu'}, {'mal_id': 143, 'type': 'anime', 'name': 'Mainichi Broadcasting System', 'url': 'https://myanimelist.net/anime/producer/143/Mainichi_Broadcasting_System'}, {'mal_id': 144, 'type': 'anime', 'name': 'Pony Canyon', 'url': 'https://myanimelist.net/anime/producer/144/Pony_Canyon'}, {'mal_id': 159, 'type': 'anime', 'name': 'Kodansha', 'url': 'https://myanimelist.net/anime/producer/159/Kodansha'}, {'mal_id': 1499, 'type': 'anime', 'name': 'Techno Sound', 'url': 'https://myanimelist.net/anime/producer/1499/Techno_Sound'}, {'mal_id': 1557, 'type': 'anime', 'name': 'Pony Canyon Enterprises', 'url': 'https://myanimelist.net/anime/producer/1557/Pony_Canyon_Enterprises'}]","[{'mal_id': 102, 'type': 'anime', 'name': 'Funimation', 'url': 'https://myanimelist.net/anime/producer/102/Funimation'}]",10.0,2019.0,R - 17+ (violence & profanity)
28977,Gintama°,Manga,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.

Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.

[Written by MAL Rewrite]",347,9.05,683780,17404,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,"[{'mal_id': 16, 'type': 'anime', 'name': 'TV Tokyo', 'url': 'https://myanimelist.net/anime/producer/16/TV_Tokyo'}, {'mal_id': 17, 'type': 'anime', 'name': 'Aniplex', 'url': 'https://myanimelist.net/anime/producer/17/Aniplex'}, {'mal_id': 53, 'type': 'anime', 'name': 'Dentsu', 'url': 'https://myanimelist.net/anime/producer/53/Dentsu'}]","[{'mal_id': 102, 'type': 'anime', 'name': 'Funimation', 'url': 'https://myanimelist.net/anime/producer/102/Funimation'}, {'mal_id': 1468, 'type': 'anime', 'name': 'Crunchyroll', 'url': 'https://myanimelist.net/anime/producer/1468/Crunchyroll'}]",51.0,2015.0,PG-13 - Teens 13 or older
39486,Gintama: The Final,Manga,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.

[Written by MAL Rewrite]",1513,9.05,179318,4610,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures,"[{'mal_id': 16, 'type': 'anime', 'name': 'TV Tokyo', 'url': 'https://myanimelist.net/anime/producer/16/TV_Tokyo'}, {'mal_id': 17, 'type': 'anime', 'name': 'Aniplex', 'url': 'https://myanimelist.net/anime/producer/17/Aniplex'}, {'mal_id': 53, 'type': 'anime', 'name': 'Dentsu', 'url': 'https://myanimelist.net/anime/producer/53/Dentsu'}, {'mal_id': 230, 'type': 'anime', 'name': 'Bandai', 'url': 'https://myanimelist.net/anime/producer/230/Bandai'}, {'mal_id': 415, 'type': 'anime', 'name': 'Warner Bros. Japan', 'url': 'https://myanimelist.net/anime/producer/415/Warner_Bros_Japan'}, {'mal_id': 1365, 'type': 'anime', 'name': 'Shueisha', 'url': 'https://myanimelist.net/anime/producer/1365/Shueisha'}]","[{'mal_id': 531, 'type': 'anime', 'name': 'Eleven Arts', 'url': 'https://myanimelist.net/anime/producer/531/Eleven_Arts'}]",1.0,,PG-13 - Teens 13 or older
11061,Hunter x Hunter (2011),Manga,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]",8,9.03,3134015,226770,"Action, Adventure, Fantasy",Madhouse,"[{'mal_id': 29, 'type': 'anime', 'name': 'VAP', 'url': 'https://myanimelist.net/anime/producer/29/VAP'}, {'mal_id': 1003, 'type': 'anime', 'name': 'Nippon Television Network', 'url': 'https://myanimelist.net/anime/producer/1003/Nippon_Television_Network'}, {'mal_id': 1365, 'type': 'anime', 'name': 'Shueisha', 'url': 'https://myanimelist.net/anime/producer/1365/Shueisha'}]","[{'mal_id': 119, 'type': 'anime', 'name': 'VIZ Media', 'url': 'https://myanimelist.net/anime/producer/119/VIZ_Media'}]",148.0,2011.0,PG-13 - Teens 13 or older
60022,One Piece Fan Letter,Light novel,"Although the golden age of piracy is about to reach new heights, most people do not seek the glory of finding the elusive One Piece—a treasure signifying a new conqueror of all seas that was once embodied by the legendary King of the Pirates, Gol D. Roger. However, even if civilians generally despise pirates, they secretly cheer for at least one of them. 

One red-headed girl from Sabaody Archipelago is no exception: She reveres Nami, the ingenious female navigator of Monkey D. Luffy's Straw Hat crew. Determined to deliver a fan letter to her idol, the Sabaody child is prepared to challenge forces of authority who strive to prevent Luffy and his friends from departing for their next destination: the New World. But to succeed, Nami's fan may need to risk her life and interfere with the Marines' plans, potentially causing devastating consequences for the wider world.

[Written by MAL Rewrite]",1824,9.02,141943,2478,"Action, Adventure, Fantasy",Toei Animation,[],[],1.0,,PG-13 - Teens 13 or older
