Page,Collaboration,Raw_Text
1,N/A,"The Sims 4 x Coach | January 12, 2026 | Luxury & fashion | Simulation | Release Date: | 13/1/2026 | 1/13/2026 | Coach has announced a co-created open-access designer collection for ""The Sims 4,"" available globally to all players on Jan. 13. The collection introduces wearable items from Coach's ready-to-wear line, the brand's Tabby and Brooklyn bags and a special ""Coach Trunk"" designed to unlock mood-driven looks. The collection features nine different items with 65 different print and color variations for players to build hundreds of unique looks. A Coach Trunk ""Heirloom Object"" unlocks pre-styled outfits designed to elicit specific 'moodlets' for Sims. The Tabby and Brooklyn bags are reimagined as decorative objects in Build Mode, allowing players to infuse their interiors with Coach's style. | Content Integration | PC | Console | Read more"
1,N/A,"PUBG Mobile x Peaky Blinders | January 12, 2026 | Film & Television | Battle Royale | Release Date: | 9/1/2026 | 1/9/2026 | Peaky Blinders x PUBG Mobile crossover event brings Shelby family skins, items, and emotes until Feb. 5. The Shelby Trials in-game event features narrative choices inspired by classic Peaky Blinders moments. Play as Thomas, Arthur, or John Shelby and unlock themed weapons, vehicles, voice packs, and more. Iconic series music 'Red Right Hand' now available in PUBG Mobile through this exclusive event. | Content Integration | Mobile | Read more"
1,N/A,"Fortnite x South Park | January 9, 2026 | Film & Television | Battle Royale | Release Date: | 9/1/2026 | 1/9/2026 | South Park is coming to Fortnite, but this is not the sort of Fortnite collab that only adds skins to the item shop--though we're certainly getting a pile of skins. No, South Park is also taking over Fortnite's Battle Royale mode by introducing several major new gameplay overhauls (and we mean major) and taking over one of the major named locations on the map. Also, there's a completely free event pass that'll allow players to earn free South Park cosmetics by completing quests--yes, you'll actually have to play the game to earn these things. And, of course, there will be five skins in the item shop, all of which are the boys from South Park in mech suits--there's Stan, Kyle, Kenny, Cartman, and Butters. More importantly, there will also be a Towelie sidekick in the shop for all the sweaty gamers out there. | Content Integration | Mobile | PC | Console | Read more"
1,N/A,"Fortnite x Percy Jackson and the Olympians' | December 16, 2025 | Film & Television | Battle Royale | Release Date: | 10/12/2025 | 12/10/2025 | The Percy Jackson: Siege of Monsters Fortnite island is an epic adventure inspired by the Percy Jackson series, featuring a map that spans an island inspired by Camp Half-Blood, the earthly sanctuary and training facility for the children of mortals and Greek gods. As newly arrived demigods, you must discover the identity of their godly parent, gain new divine powers, and ally with their fellow demigods for a climactic battle against Scylla and Charybdis on the Sea of Monsters. You’ll meet familiar characters from the show, including Percy Jackson, Annabeth Chase, and Grover Underwood. As well as completing side-quests and activities inspired by moments from the show’s first two seasons.. | Content Integration | Mobile | PC | Console | Read more"
1,N/A,"Warlock: Dungeons and Dragons | December 11, 2025 | Toys & Board Games | Action | Release Date: | In WARLOCK, you take on the role of Kaatri, a veteran warrior, in a new third-person action-adventure set in a dark fantasy open world inspired by Dungeons & Dragons. Make a pact to wield forbidden magic to overcome a wide range of challenges. In exploration, every spell is a key that unlocks mysteries in a beautiful yet unsettling world. When facing enemies, magic and melee combine for a combat experience that is both tactical and visceral. | Licensed Game | PC | Console | Read more"
1,N/A,"Soccerverse x FIFPRO | December 10, 2025 | Sport & Athletes | Sports | Release Date: | 10/12/2025 | 12/10/2025 | Soccerverse has signed an agreement with FIFPRO, the global representative organisation for professional footballers. The new license grants Soccerverse the rights to use the names and images of more than 65,000 professional football players. The worldwide license covers players from over 70 FIFPRO-affiliated member unions, spanning major footballing nations including England, France, Italy, Argentina, Portugal, Belgium, Scotland, Norway and Sweden. Gamers can now manage their clubs with real-world players and trade their favourites from the world’s top leagues, and compete in a truly dynamic player-driven economy. The integration of these officially licensed players will be rolled out within the Soccerverse game over the coming weeks, ushering in a new era of authenticity and excitement for all managers as they build their squads. | Content Integration | Mobile | PC | Read more"
1,N/A,"Microsoft Flight Simulator x Stranger Things | December 9, 2025 | Film & Television | Simulation | Release Date: | 9/12/2025 | 12/9/2025 | The Microsoft Flight Simulator 2024: Stranger Things Expansion was released on December 9, 2025, as a special crossover DLC, allowing players to fly missions and explore Hawkins, Indiana, in the Bell UH-1H Huey helicopter. An adrenaline-packed journey into the universe of the cult series awaits fans and simmers alike, led by Murray Bauman, from the original cast, and his team! Enter the world of Netflix’s Stranger Things to help Hawkins, a town under lockdown, heavy patrols, and supernatural threats. | Content Integration | PC | Console | Read more"
1,N/A,"Final Fantasy XIV x Tom Morella | December 6, 2025 | Bands & Musicians | RPG | Release Date: | 16/12/2025 | 12/16/2025 | A new track from Tom Morello (Rage Against the Machine) and Caleb Shomo (Beartooth) will feature in the upcoming FINAL FANTASY XIV Online raid series. Titled “Everything Burns”, the track will feature on Tom Morello’s new album and will be showcased in the Arcadian Heavyweight M4 raid when FFXIV Patch 7.4: Into the Mist launches on 16 December. | Content Integration | PC | Console | Read more"
1,N/A,"My Talking Angela 2 x Miraculous: Tales of Ladybug & Cat Noir | December 5, 2025 | Film & Television | Simulation | Release Date: | 27/11/2025 | 11/27/2025 | Outfit7 and Miraculous Corp expand their existing partnership by bringing Miraculous Ladybug characters into the game My Talking Angela 2. Ladybug and Cat Noir will enter the mobile game through a refreshed Talent Show experience. The experience will feature new activities inspired by the heroes, including dancing and Bamboo Strike martial arts activities. | Content Integration | Mobile | Read more"
1,N/A,"Monopoly Go! x Harry Potter | December 2, 2025 | Film & Television | Strategy | Release Date: | 10/12/2025 | 12/10/2025 | The wizarding world of Harry Potter is finally coming to MONOPOLY GO! in a long-awaited collaboration that brings a touch of magic to every roll. Starting December 10, prepare to immerse yourself in a Season filled with enchanting boards, magical Minigames and events, and exclusive collectibles inspired by one of the most beloved worlds in storytelling. This dream collab has been brewing in the cauldron for a while, and now, it’s time to let the magic unfold! Celebrate the magic! It all begins with Mr. M on his United Kingdom sightseeing trip, where a stop at the beloved tourist hotspot of Platform nine and three-quarters, at Kings Cross London, sees his imagination sparking to life and transporting him straight to the wizarding world! | Content Integration | Mobile | Read more"
