Page,Collaboration,Raw_Text,IP_Found,Matched_IP
1,N/A,"Fortnite x Percy Jackson and the Olympians' | December 16, 2025 | Film & Television | Battle Royale | Release Date: | 10/12/2025 | 12/10/2025 | The Percy Jackson: Siege of Monsters Fortnite island is an epic adventure inspired by the Percy Jackson series, featuring a map that spans an island inspired by Camp Half-Blood, the earthly sanctuary and training facility for the children of mortals and Greek gods. As newly arrived demigods, you must discover the identity of their godly parent, gain new divine powers, and ally with their fellow demigods for a climactic battle against Scylla and Charybdis on the Sea of Monsters. You’ll meet familiar characters from the show, including Percy Jackson, Annabeth Chase, and Grover Underwood. As well as completing side-quests and activities inspired by moments from the show’s first two seasons.. | Content Integration | Mobile | PC | Console | Read more",True,monster
1,N/A,"Monopoly Go! x Harry Potter | December 2, 2025 | Film & Television | Strategy | Release Date: | 10/12/2025 | 12/10/2025 | The wizarding world of Harry Potter is finally coming to MONOPOLY GO! in a long-awaited collaboration that brings a touch of magic to every roll. Starting December 10, prepare to immerse yourself in a Season filled with enchanting boards, magical Minigames and events, and exclusive collectibles inspired by one of the most beloved worlds in storytelling. This dream collab has been brewing in the cauldron for a while, and now, it’s time to let the magic unfold! Celebrate the magic! It all begins with Mr. M on his United Kingdom sightseeing trip, where a stop at the beloved tourist hotspot of Platform nine and three-quarters, at Kings Cross London, sees his imagination sparking to life and transporting him straight to the wizarding world! | Content Integration | Mobile | Read more",True,touch
1,N/A,"Monster High | November 15, 2025 | Toys & Board Games | Party | Release Date: | 24/10/2025 | 10/24/2025 | Monster High, Mattel’s premier self-published Roblox experience, debuts October 24. Fans can step inside the haunted halls of Monster High like never before—customizing their pet “Creepanions,” crafting powerful elixirs in Frankie Stein’s Alchemy Lab, and joining Clawdeen Wolf’s pack to fuel the legendary Ghoulstone for fang-tastic rewards. Featuring iconic characters, endless style options, and secrets lurking beneath the school, the experience invites players to team up, show their claws, and discover that monster magic never goes out of style. | Licensed Game | Mobile | PC | Console | Read more",True,monster
1,N/A,"PAW Patrol Rescue Wheels: Championship | October 31, 2025 | Film & Television | Racing | Release Date: | 31/10/2025 | 10/31/2025 | ""PAW Patrol Rescue Wheels: Championship"" expands the world of ""PAW Patrol"" with a roster of characters, including Roxi, Boomer and Mayor Humdinger, who appear as playable for the first time. Featuring visuals and characters that feel true to the TV show, fans can fully immerse themselves in the ""PAW Patrol"" universe while racing monster trucks across 12 tracks and three arena locations, including Adventure Bay, Scallywag’s Island, the Mountain and Foggy Bottom. | Licensed Game | PC | Console | Read more",True,monster
1,N/A,"Monster High Paranormal Peril | October 15, 2025 | Toys & Board Games | Horror | Release Date: | 15/10/2025 | 10/15/2025 | Mattel launches a new Fornite Monster High experience where you can play as Draculaura, Frankie, Cleo, Clawdeen, & Lagoona! | Content Integration | Mobile | PC | Console | Read more",True,monster
2,N/A,"Monster Hunter Wilds x Street Fighter 6 | May 22, 2025 | Video Games | RPG | Release Date: | 28/5/2025 | 5/28/2025 | Capcom has announced a Street Fighter 6 special collaboration for Monster Hunter Wilds. It will launch on May 28 in the form of a new side mission with exclusive rewards, and additional paid downloadable content. | Content Integration | PC | Console | Read more",True,monster
2,N/A,"Aether Gazer x God Eater | May 21, 2025 | Video Games | RPG | Release Date: | 5/6/2025 | 6/5/2025 | Players can look forward to the addition of Alisa and Ciel—two iconic characters from God Eater—as brand-new Modifiers in Aether Gazer. These characters will bring their distinct styles and skills into the game’s existing combat system, promising dynamic gameplay shifts. On top of that, fans got a sneak peek of a live combat demo featuring a fierce battle against Aragami monsters, including what appears to be Dyaus Pita, a fearsome enemy well-known to God Eater veterans. | Content Integration | Mobile | Read more",True,monster
3,N/A,"The Legend of Neverland x Overlord | May 9, 2025 | Anime & Comics | RPG | Release Date: | 1/5/2025 | 5/1/2025 | The Legend of Neverland is crossing over, with Overlord, bringing with it new characters, outfits, mounts, and plenty of fan-favorite flair. This limited-time event introduces three iconic faces from the series, along with exclusive in-game content that fans wonât want to miss. At the heart of the event are three of Overlordâs most recognizable characters, now making their debut in Neverland: Ainz Ooal Gown: The fearsome Ruler of Death brings his spell-casting might to the battlefield, Albedo: The graceful but deadly overseer joins the event as a companion and costume option, and Shalltear Bloodfallen: This vampire maid adds elegance and danger, also appearing as a collectible companion. This event brings fresh customization options with limited-time crossover cosmetics, including a new rideable rodent that joins the gamesâ growing repertoire of mounts. | Content Integration | Mobile | PC | ReadÂ more",True,overlord
3,N/A,"Monster Train 2 x Balatro | May 8, 2025 | Video Games | Strategy | Release Date: | 21/5/2025 | 5/21/2025 | Multiply your run wins with the help of the Jokers of Balatro! Swing by a Celestial Alcove for a chance encounter with Jimbo, who is more than happy to lend you their powers! Jokers are artifacts, giving unique effects that can change the entire flow of your run. Buff your Pyre Heart with Triboulet, who gives a permanent health boost for each rare card in your deck, or Chicot who ensures youâre paid for each card you purge. There are many jokers hopping on the Monster Train from the world of Balatro, how you use their powers is up to you! | Content Integration | PC | ReadÂ more",True,monster
3,N/A,"PUBG Mobile x Attack on Titan | May 7, 2025 | Anime & Comics | Battle Royale | Release Date: | 7/5/2025 | 5/7/2025 | This Attack on Titan collaboration brings Titans directly into PUBG MOBILEâs battlegrounds. Players can explore Utgard Castle, designed to mirror the iconic Titan attack scenes from the anime, and engage with gameplay elements such as Titan Serums, allowing for transformation into Pure Titans. The rare Attack Titan Serum, available once per match, grants players the ability to transform into the powerful Attack Titan, adding a significant tactical advantage. | Content Integration | Mobile | ReadÂ more",True,attack on titan
